Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
15/12/23 05:04:04;Inconnu, La Tronche;45.19817;5.756299;;DEPOT;0;
15/12/23 05:04:04;Inconnu, La Tronche;45.19817;5.756299;;DEPOT;0;
15/12/23 05:04:04;Inconnu, La Tronche;45.19817;5.756299;;DEPOT;0;
15/12/23 05:04:04;Inconnu, La Tronche;45.19817;5.756299;;DEPOT;0;
15/12/23 05:04:04;Inconnu, La Tronche;45.19817;5.756299;;DEPOT;0;
15/12/23 05:04:04;Inconnu, La Tronche;45.19817;5.756299;;DEPOT;0;
15/12/23 05:04:13;Inconnu, La Tronche;45.19817;5.756299;0.0;DEPOT;8;
15/12/23 05:09:57;Inconnu, La Tronche;45.198185;5.756404;;DEPOT;0;
15/12/23 05:09:57;Inconnu, La Tronche;45.198185;5.756404;;DEPOT;1;
15/12/23 05:10:04;Inconnu, La Tronche;45.198196;5.756408;;DEPOT;0;
15/12/23 05:10:04;Inconnu, La Tronche;45.198196;5.756408;;DEPOT;0;
15/12/23 05:10:06;Inconnu, La Tronche;45.1982;5.756409;;DEPOT;0;
15/12/23 05:10:06;Inconnu, La Tronche;45.1982;5.756409;;DEPOT;10;
15/12/23 05:10:15;Inconnu, La Tronche;45.198292;5.756404;;DEPOT;0;
15/12/23 05:10:15;Inconnu, La Tronche;45.198292;5.756404;;DEPOT;16;
15/12/23 05:10:22;Inconnu, La Tronche;45.198387;5.756561;6.0;HAUT LE PIED;13;
15/12/23 05:10:27;Inconnu, La Tronche;45.198456;5.756697;11.0;HAUT LE PIED;53;
15/12/23 05:10:38;Chemin de la Tuilerie, La Tronche;45.198647;5.757317;23.0;HAUT LE PIED;35;
15/12/23 05:10:43;Chemin de la Tuilerie, La Tronche;45.19883;5.757677;33.0;HAUT LE PIED;147;
15/12/23 05:11:01;Chemin de la Tuilerie, La Tronche;45.199306;5.759423;19.0;HAUT LE PIED;22;
15/12/23 05:11:06;Inconnu, La Tronche;45.19931;5.759707;18.0;HAUT LE PIED;14;
15/12/23 05:11:09;Inconnu, La Tronche;45.199333;5.759878;17.0;HAUT LE PIED;15;
15/12/23 05:11:12;Inconnu, La Tronche;45.199287;5.76006;18.0;HAUT LE PIED;15;
15/12/23 05:11:15;Inconnu, La Tronche;45.199169;5.760152;17.0;HAUT LE PIED;21;
15/12/23 05:11:19;Inconnu, La Tronche;45.198994;5.760252;21.0;HAUT LE PIED;81;
15/12/23 05:11:32;Inconnu, La Tronche;45.198311;5.76061;19.0;HAUT LE PIED;16;
15/12/23 05:11:35;Inconnu, La Tronche;45.198174;5.760688;21.0;HAUT LE PIED;24;
15/12/23 05:11:41;;45.198021;5.760911;10.0;HAUT LE PIED;11;
15/12/23 05:11:43;Chemin de la Tuilerie, La Tronche;45.198029;5.761057;19.0;HAUT LE PIED;10;
15/12/23 05:11:46;Chemin de la Tuilerie, La Tronche;45.198105;5.761125;16.0;HAUT LE PIED;17;
15/12/23 05:11:49;Chemin de la Tuilerie, La Tronche;45.198261;5.761106;17.0;HAUT LE PIED;17;
15/12/23 05:11:53;Chemin de la Tuilerie, La Tronche;45.198399;5.761025;20.0;HAUT LE PIED;162;
15/12/23 05:12:10;Chemin de la Tuilerie, La Tronche;45.199688;5.760075;36.0;HAUT LE PIED;106;
15/12/23 05:12:23;Chemin de la Tuilerie, Meylan;45.200424;5.75921;8.0;HAUT LE PIED;50;
15/12/23 05:12:54;Avenue de Verdun, Meylan;45.200844;5.758977;0.0;ARRET;26;
15/12/23 05:13:35;Avenue de Verdun, Meylan;45.200901;5.758653;16.0;HAUT LE PIED;16;
15/12/23 05:13:38;Avenue de Verdun, La Tronche;45.200825;5.758473;24.0;HAUT LE PIED;197;
15/12/23 05:13:57;Avenue de Verdun, La Tronche;45.199596;5.756661;48.0;HAUT LE PIED;458;
15/12/23 05:14:27;Avenue de Verdun, La Tronche;45.196712;5.752484;57.0;HAUT LE PIED;456;
15/12/23 05:14:58;Avenue de Verdun, La Tronche;45.193806;5.748384;43.0;HAUT LE PIED;392;
15/12/23 05:15:28;Avenue de Verdun, La Tronche;45.191345;5.744814;53.0;HAUT LE PIED;307;
15/12/23 05:15:53;Rue du 19 Mars 1962, Grenoble;45.189522;5.741873;14.0;HAUT LE PIED;13;
15/12/23 05:15:56;Rue du 19 Mars 1962, Grenoble;45.18959;5.741739;20.0;HAUT LE PIED;34;
15/12/23 05:16:01;Rue du 19 Mars 1962, Grenoble;45.189838;5.741496;27.0;HAUT LE PIED;32;
15/12/23 05:16:06;Rue du 19 Mars 1962, Grenoble;45.190109;5.741343;15.0;HAUT LE PIED;27;
15/12/23 05:16:13;Rue du 19 Mars 1962, Grenoble;45.19035;5.74131;14.0;HAUT LE PIED;48;
15/12/23 05:16:21;Rue du 19 Mars 1962, Grenoble;45.190781;5.741302;19.0;HAUT LE PIED;35;
15/12/23 05:16:25;Rue du 19 Mars 1962, Grenoble;45.191071;5.741126;35.0;HAUT LE PIED;33;
15/12/23 05:16:29;Rue du 19 Mars 1962, Grenoble;45.191273;5.740813;30.0;HAUT LE PIED;18;
15/12/23 05:16:32;Rue du 19 Mars 1962, Grenoble;45.191349;5.740611;19.0;HAUT LE PIED;46;
15/12/23 05:16:43;Rue du 19 Mars 1962, Grenoble;45.191383;5.740028;19.0;HAUT LE PIED;84;
15/12/23 05:16:54;Rue du 19 Mars 1962, Grenoble;45.191219;5.738986;21.0;HAUT LE PIED;12;
15/12/23 05:17:25;Rue du 19 Mars 1962, Grenoble;45.19125;5.738838;0.0;ARRET;25;
15/12/23 05:17:42;Avenue Saint-Roch, Grenoble;45.191334;5.738541;19.0;HAUT LE PIED;18;
15/12/23 05:17:45;Boulevard Maréchal Leclerc, Grenoble;45.191433;5.738355;23.0;HAUT LE PIED;24;
15/12/23 05:17:48;Boulevard Maréchal Leclerc, Grenoble;45.191608;5.738169;34.0;HAUT LE PIED;192;
15/12/23 05:18:05;Boulevard Maréchal Leclerc, Grenoble;45.193035;5.736786;42.0;HAUT LE PIED;258;
15/12/23 05:18:27;Boulevard Maréchal Leclerc, Grenoble;45.195038;5.735121;42.0;HAUT LE PIED;76;
15/12/23 05:18:58;Avenue Maréchal Randon, Grenoble;45.19569;5.734828;0.0;ARRET;27;
15/12/23 05:19:08;Avenue Maréchal Randon, Grenoble;45.195671;5.73448;21.0;HAUT LE PIED;194;
15/12/23 05:19:34;Avenue Maréchal Randon, Grenoble;45.194374;5.732831;25.0;HAUT LE PIED;56;
15/12/23 05:19:59;Avenue Maréchal Randon, Grenoble;45.193993;5.732366;8.0;HAUT LE PIED;6;
15/12/23 05:20:02;Place de Lavalette, Grenoble;45.193939;5.732377;9.0;HAUT LE PIED;8;
15/12/23 05:20:05;Place de Lavalette, Grenoble;45.193871;5.732365;12.0;HAUT LE PIED;59;
15/12/23 05:20:18;Inconnu, Grenoble;45.193436;5.731942;19.0;HAUT LE PIED;79;
15/12/23 05:20:31;Inconnu, Grenoble;45.192837;5.731396;22.0;HAUT LE PIED;30;
15/12/23 05:21:02;Place Notre-Dame, Grenoble;45.192577;5.731318;0.0;ARRET;4;
15/12/23 05:22:43;Place Notre-Dame, Grenoble;45.192574;5.731271;;ARRET;0;
15/12/23 05:22:43;Place Notre-Dame, Grenoble;45.192574;5.731271;;COLLECTE;0;
15/12/23 05:22:43;Place Notre-Dame, Grenoble;45.192574;5.731271;;COLLECTE;1;
15/12/23 05:22:55;Place Notre-Dame, Grenoble;45.19257;5.731267;;COLLECTE;0;
15/12/23 05:22:55;Place Notre-Dame, Grenoble;45.19257;5.731267;;COLLECTE;0;
15/12/23 05:22:55;Place Notre-Dame, Grenoble;45.19257;5.731267;;ARRET;0;
15/12/23 05:23:00;Place Notre-Dame, Grenoble;45.19257;5.731267;;ARRET;0;
15/12/23 05:23:00;Place Notre-Dame, Grenoble;45.19257;5.731267;;COLLECTE;0;
15/12/23 05:23:10;Place Notre-Dame, Grenoble;45.19257;5.731267;;COLLECTE;0;
15/12/23 05:23:10;Place Notre-Dame, Grenoble;45.19257;5.731267;;ARRET;26;
15/12/23 05:23:23;Inconnu, Grenoble;45.192348;5.731161;10.0;HAUT LE PIED;7;
15/12/23 05:23:39;Inconnu, Grenoble;45.192291;5.731126;;ARRET;0;
15/12/23 05:23:39;Inconnu, Grenoble;45.192291;5.731126;;COLLECTE;1;
15/12/23 05:23:43;Inconnu, Grenoble;45.192303;5.731127;;COLLECTE;3;
15/12/23 05:23:49;Inconnu, Grenoble;45.192307;5.731087;;COLLECTE;0;
15/12/23 05:23:49;Inconnu, Grenoble;45.192307;5.731087;;COLLECTE;4;
15/12/23 05:23:54;Inconnu, Grenoble;45.192299;5.731035;0.0;COLLECTE;1;
15/12/23 05:23:59;Inconnu, Grenoble;45.192295;5.731025;;ARRET;0;
15/12/23 05:24:13;Inconnu, Grenoble;45.192291;5.731024;;COLLECTE;0;
15/12/23 05:24:13;Inconnu, Grenoble;45.192291;5.731024;;COLLECTE;0;
15/12/23 05:24:13;Inconnu, Grenoble;45.192291;5.731024;;COLLECTE;0;
15/12/23 05:24:23;Inconnu, Grenoble;45.192291;5.731024;;COLLECTE;0;
15/12/23 05:24:25;Inconnu, Grenoble;45.192291;5.731024;;COLLECTE;0;
15/12/23 05:24:25;Inconnu, Grenoble;45.192291;5.731024;;ARRET;0;
15/12/23 05:24:31;Inconnu, Grenoble;45.192291;5.731025;;ARRET;0;
15/12/23 05:24:31;Inconnu, Grenoble;45.192291;5.731025;;COLLECTE;0;
15/12/23 05:24:34;Inconnu, Grenoble;45.192291;5.731025;;COLLECTE;0;
15/12/23 05:24:37;Inconnu, Grenoble;45.192291;5.731026;;COLLECTE;0;
15/12/23 05:24:39;Inconnu, Grenoble;45.192291;5.731026;;COLLECTE;0;
15/12/23 05:24:41;Inconnu, Grenoble;45.192291;5.731026;;COLLECTE;0;
15/12/23 05:24:41;Inconnu, Grenoble;45.192291;5.731026;;COLLECTE;0;
15/12/23 05:24:52;Inconnu, Grenoble;45.192291;5.731026;;ARRET;0;
15/12/23 05:24:57;Inconnu, Grenoble;45.192291;5.731026;;ARRET;0;
15/12/23 05:24:57;Inconnu, Grenoble;45.192291;5.731026;;COLLECTE;0;
15/12/23 05:24:57;Inconnu, Grenoble;45.192291;5.731026;;COLLECTE;0;
15/12/23 05:25:07;Inconnu, Grenoble;45.192291;5.731028;;COLLECTE;0;
15/12/23 05:25:11;Inconnu, Grenoble;45.192291;5.731028;;COLLECTE;0;
15/12/23 05:25:11;Inconnu, Grenoble;45.192291;5.731028;;ARRET;0;
15/12/23 05:25:21;Inconnu, Grenoble;45.192291;5.73103;;ARRET;28;
15/12/23 05:25:42;Rue Président Sadi Carnot, Grenoble;45.192039;5.731002;6.0;HAUT LE PIED;23;
15/12/23 05:25:55;Rue Président Sadi Carnot, Grenoble;45.191849;5.730877;;ARRET;2;
15/12/23 05:26:04;Rue Président Sadi Carnot, Grenoble;45.191837;5.730886;;COLLECTE;0;
15/12/23 05:26:04;Rue Président Sadi Carnot, Grenoble;45.191837;5.730886;;COLLECTE;0;
15/12/23 05:26:04;Rue Président Sadi Carnot, Grenoble;45.191837;5.730886;;COLLECTE;3;
15/12/23 05:26:13;Rue Président Sadi Carnot, Grenoble;45.191818;5.730921;0.0;COLLECTE;1;
15/12/23 05:26:19;Rue Président Sadi Carnot, Grenoble;45.191814;5.730924;;COLLECTE;0;
15/12/23 05:26:19;Rue Président Sadi Carnot, Grenoble;45.191814;5.730924;;COLLECTE;0;
15/12/23 05:26:19;Rue Président Sadi Carnot, Grenoble;45.191814;5.730924;;ARRET;0;
15/12/23 05:26:28;Rue Président Sadi Carnot, Grenoble;45.191814;5.730925;;ARRET;0;
15/12/23 05:26:28;Rue Président Sadi Carnot, Grenoble;45.191814;5.730925;;COLLECTE;0;
15/12/23 05:26:28;Rue Président Sadi Carnot, Grenoble;45.191814;5.730925;;COLLECTE;0;
15/12/23 05:26:47;Rue Président Sadi Carnot, Grenoble;45.191814;5.730926;;COLLECTE;0;
15/12/23 05:26:47;Rue Président Sadi Carnot, Grenoble;45.191814;5.730926;;COLLECTE;0;
15/12/23 05:26:47;Rue Président Sadi Carnot, Grenoble;45.191814;5.730926;;ARRET;0;
15/12/23 05:26:56;Rue Président Sadi Carnot, Grenoble;45.191814;5.730927;;COLLECTE;0;
15/12/23 05:26:56;Rue Président Sadi Carnot, Grenoble;45.191814;5.730927;;COLLECTE;0;
15/12/23 05:26:56;Rue Président Sadi Carnot, Grenoble;45.191814;5.730927;;COLLECTE;0;
15/12/23 05:27:08;Rue Président Sadi Carnot, Grenoble;45.191814;5.730927;;COLLECTE;0;
15/12/23 05:27:08;Rue Président Sadi Carnot, Grenoble;45.191814;5.730927;;COLLECTE;0;
15/12/23 05:27:08;Rue Président Sadi Carnot, Grenoble;45.191814;5.730927;;ARRET;0;
15/12/23 05:27:16;Rue Président Sadi Carnot, Grenoble;45.191811;5.73093;;ARRET;25;
15/12/23 05:27:23;Place Sainte-Claire, Grenoble;45.191597;5.730827;15.0;HAUT LE PIED;11;
15/12/23 05:27:26;Place Sainte-Claire, Grenoble;45.191631;5.730694;11.0;HAUT LE PIED;6;
15/12/23 05:27:30;Place Sainte-Claire, Grenoble;45.191669;5.730643;;ARRET;8;
15/12/23 05:27:40;Place Sainte-Claire, Grenoble;45.191727;5.730693;;COLLECTE;0;
15/12/23 05:27:40;Place Sainte-Claire, Grenoble;45.191727;5.730693;;COLLECTE;0;
15/12/23 05:27:40;Place Sainte-Claire, Grenoble;45.191727;5.730693;;COLLECTE;4;
15/12/23 05:27:56;Rue Pierre Duclot, Grenoble;45.191765;5.730709;0.0;COLLECTE;3;
15/12/23 05:28:00;Rue Président Sadi Carnot, Grenoble;45.19178;5.730741;;COLLECTE;0;
15/12/23 05:28:00;Rue Président Sadi Carnot, Grenoble;45.19178;5.730741;;COLLECTE;0;
15/12/23 05:28:00;Rue Président Sadi Carnot, Grenoble;45.19178;5.730741;;ARRET;4;
15/12/23 05:28:16;Rue Président Sadi Carnot, Grenoble;45.191788;5.730795;;ARRET;0;
15/12/23 05:28:16;Rue Président Sadi Carnot, Grenoble;45.191788;5.730795;;COLLECTE;0;
15/12/23 05:28:17;Rue Président Sadi Carnot, Grenoble;45.191788;5.73079;;COLLECTE;2;
15/12/23 05:28:26;Rue Président Sadi Carnot, Grenoble;45.19178;5.730774;;COLLECTE;0;
15/12/23 05:28:26;Rue Président Sadi Carnot, Grenoble;45.19178;5.730774;;COLLECTE;0;
15/12/23 05:28:26;Rue Président Sadi Carnot, Grenoble;45.19178;5.730774;;ARRET;1;
15/12/23 05:28:32;Rue Président Sadi Carnot, Grenoble;45.191776;5.730771;;COLLECTE;0;
15/12/23 05:28:32;Rue Président Sadi Carnot, Grenoble;45.191776;5.730771;;COLLECTE;0;
15/12/23 05:28:32;Rue Président Sadi Carnot, Grenoble;45.191776;5.730771;;COLLECTE;0;
15/12/23 05:28:41;Rue Président Sadi Carnot, Grenoble;45.191776;5.730766;;COLLECTE;0;
15/12/23 05:28:49;Rue Président Sadi Carnot, Grenoble;45.191776;5.730762;;COLLECTE;0;
15/12/23 05:28:49;Rue Président Sadi Carnot, Grenoble;45.191776;5.730762;;ARRET;1;
15/12/23 05:29:02;Rue Président Sadi Carnot, Grenoble;45.191772;5.730756;;ARRET;0;
15/12/23 05:29:02;Rue Président Sadi Carnot, Grenoble;45.191772;5.730756;;COLLECTE;0;
15/12/23 05:29:03;Rue Président Sadi Carnot, Grenoble;45.191772;5.730756;;COLLECTE;0;
15/12/23 05:29:05;Rue Président Sadi Carnot, Grenoble;45.191772;5.730755;;COLLECTE;0;
15/12/23 05:29:07;Rue Président Sadi Carnot, Grenoble;45.191772;5.730755;;COLLECTE;0;
15/12/23 05:29:11;Rue Président Sadi Carnot, Grenoble;45.191772;5.730755;;COLLECTE;0;
15/12/23 05:29:11;Rue Président Sadi Carnot, Grenoble;45.191772;5.730755;;COLLECTE;0;
15/12/23 05:29:16;Rue Président Sadi Carnot, Grenoble;45.191772;5.730755;;ARRET;0;
15/12/23 05:29:20;Rue Président Sadi Carnot, Grenoble;45.191772;5.730756;;COLLECTE;0;
15/12/23 05:29:28;Rue Président Sadi Carnot, Grenoble;45.191772;5.730756;;ARRET;0;
15/12/23 05:29:32;Rue Président Sadi Carnot, Grenoble;45.191772;5.730756;;ARRET;17;
15/12/23 05:29:46;Rue Président Sadi Carnot, Grenoble;45.191925;5.730748;;ARRET;13;
15/12/23 05:29:56;Rue Pierre Duclot, Grenoble;45.192039;5.730705;;COLLECTE;0;
15/12/23 05:29:56;Rue Pierre Duclot, Grenoble;45.192039;5.730705;;COLLECTE;0;
15/12/23 05:29:56;Rue Pierre Duclot, Grenoble;45.192039;5.730705;;COLLECTE;1;
15/12/23 05:30:25;Rue Pierre Duclot, Grenoble;45.192036;5.730719;;COLLECTE;0;
15/12/23 05:30:25;Rue Pierre Duclot, Grenoble;45.192036;5.730719;;COLLECTE;0;
15/12/23 05:30:25;Rue Pierre Duclot, Grenoble;45.192036;5.730719;;ARRET;0;
15/12/23 05:30:31;Rue Pierre Duclot, Grenoble;45.192036;5.730721;;ARRET;10;
15/12/23 05:30:42;Rue Pierre Duclot, Grenoble;45.192116;5.73065;;ARRET;5;
15/12/23 05:30:50;Rue Pierre Duclot, Grenoble;45.192135;5.73059;;COLLECTE;0;
15/12/23 05:30:50;Rue Pierre Duclot, Grenoble;45.192135;5.73059;;COLLECTE;0;
15/12/23 05:30:50;Rue Pierre Duclot, Grenoble;45.192135;5.73059;;COLLECTE;2;
15/12/23 05:31:02;Rue Pierre Duclot, Grenoble;45.19215;5.730601;;COLLECTE;0;
15/12/23 05:31:02;Rue Pierre Duclot, Grenoble;45.19215;5.730601;;COLLECTE;0;
15/12/23 05:31:02;Rue Pierre Duclot, Grenoble;45.19215;5.730601;;ARRET;1;
15/12/23 05:31:14;Rue Pierre Duclot, Grenoble;45.192146;5.730597;;COLLECTE;0;
15/12/23 05:31:14;Rue Pierre Duclot, Grenoble;45.192146;5.730597;;COLLECTE;0;
15/12/23 05:31:14;Rue Pierre Duclot, Grenoble;45.192146;5.730597;;COLLECTE;0;
15/12/23 05:31:31;Rue Pierre Duclot, Grenoble;45.192146;5.730597;;COLLECTE;0;
15/12/23 05:31:32;Rue Pierre Duclot, Grenoble;45.192146;5.730597;;ARRET;0;
15/12/23 05:31:32;Rue Pierre Duclot, Grenoble;45.192146;5.730597;;ARRET;0;
15/12/23 05:31:40;Rue Pierre Duclot, Grenoble;45.192146;5.730597;;ARRET;10;
15/12/23 05:31:47;Rue Pierre Duclot, Grenoble;45.192226;5.73053;;ARRET;8;
15/12/23 05:32:04;Rue Pierre Duclot, Grenoble;45.192291;5.730567;;COLLECTE;0;
15/12/23 05:32:04;Rue Pierre Duclot, Grenoble;45.192291;5.730567;;COLLECTE;0;
15/12/23 05:32:04;Rue Pierre Duclot, Grenoble;45.192291;5.730567;;COLLECTE;0;
15/12/23 05:32:21;Rue Pierre Duclot, Grenoble;45.192291;5.730568;;COLLECTE;0;
15/12/23 05:32:21;Rue Pierre Duclot, Grenoble;45.192291;5.730568;;COLLECTE;0;
15/12/23 05:32:21;Rue Pierre Duclot, Grenoble;45.192291;5.730568;;ARRET;0;
15/12/23 05:32:29;Rue Pierre Duclot, Grenoble;45.192291;5.730569;;COLLECTE;0;
15/12/23 05:32:29;Rue Pierre Duclot, Grenoble;45.192291;5.730569;;COLLECTE;0;
15/12/23 05:32:29;Rue Pierre Duclot, Grenoble;45.192291;5.730569;;COLLECTE;0;
15/12/23 05:32:42;Rue Pierre Duclot, Grenoble;45.192291;5.730569;;COLLECTE;0;
15/12/23 05:32:42;Rue Pierre Duclot, Grenoble;45.192291;5.730569;;COLLECTE;0;
15/12/23 05:32:42;Rue Pierre Duclot, Grenoble;45.192291;5.730569;;ARRET;0;
15/12/23 05:32:50;Rue Pierre Duclot, Grenoble;45.192291;5.730569;;ARRET;0;
15/12/23 05:32:50;Rue Pierre Duclot, Grenoble;45.192291;5.730569;;COLLECTE;0;
15/12/23 05:32:58;Rue Pierre Duclot, Grenoble;45.192291;5.730569;;COLLECTE;0;
15/12/23 05:32:58;Rue Pierre Duclot, Grenoble;45.192291;5.730569;;ARRET;13;
15/12/23 05:33:19;Rue Pierre Duclot, Grenoble;45.192276;5.73041;;COLLECTE;1;
15/12/23 05:33:25;Rue Pierre Duclot, Grenoble;45.192276;5.730424;;COLLECTE;0;
15/12/23 05:33:25;Rue Pierre Duclot, Grenoble;45.192276;5.730424;;COLLECTE;1;
15/12/23 05:33:28;Rue Pierre Duclot, Grenoble;45.192272;5.73043;;COLLECTE;0;
15/12/23 05:33:33;Rue Pierre Duclot, Grenoble;45.192272;5.730431;;COLLECTE;0;
15/12/23 05:33:33;Rue Pierre Duclot, Grenoble;45.192272;5.730431;;ARRET;10;
15/12/23 05:33:47;Rue des Clercs, Grenoble;45.19228;5.730309;;ARRET;0;
15/12/23 05:33:47;Rue des Clercs, Grenoble;45.19228;5.730309;;COLLECTE;2;
15/12/23 05:34:00;Rue des Clercs, Grenoble;45.192265;5.730292;;COLLECTE;0;
15/12/23 05:34:00;Rue des Clercs, Grenoble;45.192265;5.730292;;ARRET;0;
15/12/23 05:34:04;Rue des Clercs, Grenoble;45.192265;5.730292;;ARRET;17;
15/12/23 05:34:13;Rue des Clercs, Grenoble;45.192154;5.730142;;ARRET;2;
15/12/23 05:34:30;Rue des Clercs, Grenoble;45.192169;5.730149;;COLLECTE;0;
15/12/23 05:34:30;Rue des Clercs, Grenoble;45.192169;5.730149;;COLLECTE;0;
15/12/23 05:34:30;Rue des Clercs, Grenoble;45.192169;5.730149;;COLLECTE;0;
15/12/23 05:34:38;Rue des Clercs, Grenoble;45.192169;5.730149;;COLLECTE;0;
15/12/23 05:34:38;Rue des Clercs, Grenoble;45.192169;5.730149;;COLLECTE;0;
15/12/23 05:34:39;Rue des Clercs, Grenoble;45.192169;5.730149;;ARRET;0;
15/12/23 05:34:46;Rue des Clercs, Grenoble;45.192169;5.730149;;COLLECTE;0;
15/12/23 05:34:46;Rue des Clercs, Grenoble;45.192169;5.730149;;COLLECTE;0;
15/12/23 05:34:46;Rue des Clercs, Grenoble;45.192169;5.730149;;COLLECTE;0;
15/12/23 05:34:54;Rue des Clercs, Grenoble;45.192169;5.730149;;COLLECTE;0;
15/12/23 05:34:54;Rue des Clercs, Grenoble;45.192169;5.730149;;COLLECTE;0;
15/12/23 05:34:54;Rue des Clercs, Grenoble;45.192169;5.730149;;ARRET;10;
15/12/23 05:35:16;Rue des Clercs, Grenoble;45.192131;5.730031;;ARRET;0;
15/12/23 05:35:16;Rue des Clercs, Grenoble;45.192131;5.730031;;COLLECTE;0;
15/12/23 05:35:17;Rue des Clercs, Grenoble;45.192131;5.730032;;COLLECTE;0;
15/12/23 05:35:20;Rue des Clercs, Grenoble;45.192131;5.730035;;COLLECTE;0;
15/12/23 05:35:29;Rue des Clercs, Grenoble;45.192131;5.730034;;COLLECTE;0;
15/12/23 05:35:29;Rue des Clercs, Grenoble;45.192131;5.730034;;COLLECTE;0;
15/12/23 05:35:29;Rue des Clercs, Grenoble;45.192131;5.730034;;COLLECTE;1;
15/12/23 05:35:45;Rue des Clercs, Grenoble;45.192127;5.730027;;ARRET;7;
15/12/23 05:35:57;Rue des Clercs, Grenoble;45.192089;5.729949;;COLLECTE;0;
15/12/23 05:36:01;Rue des Clercs, Grenoble;45.192085;5.729948;;ARRET;0;
15/12/23 05:36:03;Rue des Clercs, Grenoble;45.192081;5.729948;;COLLECTE;1;
15/12/23 05:36:10;Rue des Clercs, Grenoble;45.192085;5.729963;;ARRET;10;
15/12/23 05:36:30;Rue des Clercs, Grenoble;45.192078;5.729839;;ARRET;0;
15/12/23 05:36:30;Rue des Clercs, Grenoble;45.192078;5.729839;;COLLECTE;0;
15/12/23 05:36:31;Rue des Clercs, Grenoble;45.192081;5.729835;;COLLECTE;3;
15/12/23 05:36:35;Rue des Clercs, Grenoble;45.192097;5.729811;;COLLECTE;0;
15/12/23 05:36:36;Rue des Clercs, Grenoble;45.192097;5.729805;;COLLECTE;1;
15/12/23 05:36:39;Rue des Clercs, Grenoble;45.192101;5.729792;;COLLECTE;0;
15/12/23 05:36:39;Rue des Clercs, Grenoble;45.192101;5.729792;;COLLECTE;0;
15/12/23 05:36:50;Rue des Clercs, Grenoble;45.192101;5.729787;;ARRET;8;
15/12/23 05:37:00;Rue Lafayette, Grenoble;45.192089;5.729689;6.0;HAUT LE PIED;6;
15/12/23 05:37:09;Rue des Clercs, Grenoble;45.192085;5.729607;;ARRET;0;
15/12/23 05:37:10;Rue des Clercs, Grenoble;45.192085;5.729609;;COLLECTE;0;
15/12/23 05:37:10;Rue des Clercs, Grenoble;45.192085;5.729609;;COLLECTE;1;
15/12/23 05:37:19;Rue des Clercs, Grenoble;45.192097;5.729605;;COLLECTE;0;
15/12/23 05:37:19;Rue des Clercs, Grenoble;45.192097;5.729605;;COLLECTE;0;
15/12/23 05:37:19;Rue des Clercs, Grenoble;45.192097;5.729605;;ARRET;0;
15/12/23 05:37:25;Rue des Clercs, Grenoble;45.192093;5.729605;;COLLECTE;0;
15/12/23 05:37:26;Rue des Clercs, Grenoble;45.192093;5.729605;;COLLECTE;0;
15/12/23 05:37:26;Rue des Clercs, Grenoble;45.192093;5.729605;;COLLECTE;0;
15/12/23 05:37:31;Rue des Clercs, Grenoble;45.192089;5.729605;0.0;COLLECTE;0;
15/12/23 05:37:35;Rue des Clercs, Grenoble;45.192089;5.729605;;COLLECTE;0;
15/12/23 05:37:35;Rue des Clercs, Grenoble;45.192089;5.729605;;COLLECTE;0;
15/12/23 05:37:38;Rue des Clercs, Grenoble;45.192085;5.729605;;ARRET;0;
15/12/23 05:37:49;Rue des Clercs, Grenoble;45.192085;5.729606;;ARRET;0;
15/12/23 05:37:49;Rue des Clercs, Grenoble;45.192085;5.729606;;COLLECTE;0;
15/12/23 05:37:50;Rue des Clercs, Grenoble;45.192085;5.729606;;COLLECTE;0;
15/12/23 05:37:59;Rue des Clercs, Grenoble;45.192085;5.729606;;COLLECTE;0;
15/12/23 05:38:02;Rue des Clercs, Grenoble;45.192085;5.729606;;COLLECTE;0;
15/12/23 05:38:02;Rue des Clercs, Grenoble;45.192085;5.729606;;ARRET;18;
15/12/23 05:38:28;Rue des Clercs, Grenoble;45.192074;5.729379;;ARRET;0;
15/12/23 05:38:28;Rue des Clercs, Grenoble;45.192074;5.729379;;COLLECTE;0;
15/12/23 05:38:29;Rue des Clercs, Grenoble;45.192074;5.729378;;COLLECTE;0;
15/12/23 05:38:41;Rue des Clercs, Grenoble;45.192078;5.729377;;COLLECTE;0;
15/12/23 05:38:41;Rue des Clercs, Grenoble;45.192078;5.729377;;COLLECTE;0;
15/12/23 05:38:41;Rue des Clercs, Grenoble;45.192078;5.729377;;ARRET;7;
15/12/23 05:38:51;Rue des Clercs, Grenoble;45.192078;5.729284;6.0;HAUT LE PIED;13;
15/12/23 05:39:03;Rue des Clercs, Grenoble;45.192066;5.729124;;COLLECTE;0;
15/12/23 05:39:03;Rue des Clercs, Grenoble;45.192066;5.729124;;COLLECTE;0;
15/12/23 05:39:03;Rue des Clercs, Grenoble;45.192066;5.729124;;COLLECTE;0;
15/12/23 05:39:22;Rue des Clercs, Grenoble;45.192066;5.729119;0.0;COLLECTE;0;
15/12/23 05:39:28;Rue des Clercs, Grenoble;45.192066;5.729119;;COLLECTE;0;
15/12/23 05:39:28;Rue des Clercs, Grenoble;45.192066;5.729119;;COLLECTE;0;
15/12/23 05:39:28;Rue des Clercs, Grenoble;45.192066;5.729119;;ARRET;9;
